               AUC                      ACC                  Recall                 F1-Score                Precesion
1       0.7413141792289297      0.7427851515151516      0.7658837421409722      0.759376574219832       0.7529790482786847
2       0.7444808751386621      0.7458763636363637      0.7677896368049817      0.7620299170886768      0.7563559692004544
3       0.7456425721737024      0.7469975757575757      0.7682751167238969      0.7629451868879195      0.757688700606073
4       0.745849609128782       0.7471945454545454      0.7683140008634566      0.7630951671025616      0.7579467536899822
5       0.746160861804387       0.747520303030303       0.7688675280266013      0.7634582697749315      0.7581245919238415
6       0.7461364719816117      0.7474851515151515      0.7686633862939126      0.7633851664213817      0.7581789406238578
7       0.7462533857862336      0.7476145454545454      0.7689887550499347      0.7635541484597145      0.7581958178452809
8       0.7463438795682059      0.7476878787878788      0.7687926188753906      0.7635605599374817      0.7583992337333331
9       0.7464675572267885      0.7478157575757576      0.7689864677476076      0.7636975721450897      0.758480930983352
10      0.7466785392858913      0.74801                 0.7689178486777963      0.7638204998649497      0.7587902891780832
11      0.7467076046582495      0.7480545454545454      0.7692054769454221      0.7639198471223276      0.7587063624339744
12      0.7469358618685562      0.7482887878787878      0.7695337048293529      0.7641644509240818      0.7588696034646095
13      0.7470099835949491      0.7483633333333334      0.769614904061963       0.7642368383471274      0.7589334148341207
14      0.7469869674277423      0.7483430303030303      0.7696372052596517      0.7642275222523285      0.7588933564057934
15      0.7470055052766524      0.7483469696969697      0.7694119059804378      0.7641775854622156      0.7590140020375216
16      0.7470472568447644      0.7483866666666666      0.7694193397130007      0.7642077547081833      0.7590662950169719
17      0.7470355358662925      0.7483721212121213      0.7693604416780794      0.764183543182221       0.759075848007226
18      0.7470709591167783      0.7484154545454546      0.7695279865735354      0.7642538121428045      0.7590514416313859
19      0.7471190923397028      0.7484648484848485      0.7695971774689284      0.7643053836888442      0.7590858662798272
20      0.7470869738207666      0.7484424242424242      0.7697269818759882      0.7643197057388977      0.7589878710751277
21      0.7470334525955679      0.7483909090909091      0.7697069679806265      0.7642781342567909      0.7589253445901031
22      0.746964441259302       0.7483136363636363      0.769499967120029       0.7641743411665997      0.7589219246994067
23      0.7470287366680134      0.748379696969697       0.7695937465154379      0.764243602101614       0.7589673315400361
24      0.7470019578478188      0.7483539393939393      0.7695840254805479      0.7642228825594687      0.7589359174114557
25      0.7470516864844461      0.7484057575757576      0.7696686556666485      0.7642797987979779      0.7589658777318283




